,id,total_fires,acres_burned,logged_acres_burned
0,10001,36,2947.6,5.23758614764263
1,10003,29,482.2,-10.577779615280878
2,10005,107,1799.9500000000003,-0.7639250566833513
3,1001,1202,7702.05,288.0034755521401
4,1003,3808,76143.42,1619.79511136608
5,1005,541,6602.75,240.83230433210863
6,1007,1029,12993.74,378.84471507040735
7,1009,856,7236.45,348.49149212481325
8,1011,546,8625.800000000001,309.7014335239231
9,1013,933,8908.01,195.79552603460246
10,1015,1146,21994.08,664.9187144668587
11,1017,723,5736.85,280.8112878336451
12,1019,1864,44368.87,1135.9157585588894
13,1021,1605,10342.27,400.0474025041472
14,1023,720,7025.54,266.1802306596967
15,1025,738,8681.49,192.81019194305668
16,1027,1113,20772.16,690.4206472483646
17,1029,1901,50968.22,1360.570501823141
18,1031,327,2781.65,124.53264021384733
19,1033,780,6124.14,194.84432805358765
20,1035,1319,16476.71,649.4368894398037
21,1037,693,10053.22,373.4651862367222
22,1039,813,8483.46,340.37250917597106
23,1041,527,3421.21,82.88916886809231
24,1043,621,7468.1,234.66025807904012
25,1045,237,1492.57,66.65392724885942
26,1047,734,7206.87,291.32457034763615
27,1049,999,21276.04,603.5719127267424
28,1051,1299,7541.89,166.2852886586116
29,1053,1695,24228.93,526.2599889292775
30,1055,655,7860.6,387.05877372621364
31,1057,629,6785.2,271.87275649276137
32,1059,655,12002.1,432.648562399182
33,1061,324,2857.35,139.7335650907403
34,1063,477,3815.15,119.9683917320814
35,1065,564,3149.48,82.95498860672774
36,1067,291,2165.43,86.98901230380827
37,1069,268,2472.6,116.46574444439486
38,1071,680,17625.53,479.6634383125143
39,1073,2000,26499.395,1008.3274223734275
40,1075,502,4084.2,163.4085706342025
41,1077,1097,9071.85,301.25225786789986
42,1079,799,14780.81,456.21958639252637
43,1081,463,5210.15,243.60157171491983
44,1083,356,2688.27,111.78484930145123
45,1085,649,6102.9,211.92580506268735
46,1087,1309,23778.53,809.6933272422098
47,1089,377,2169.66,20.1729958856333
48,1091,571,5995.54,233.52399636949275
49,1093,1096,10750.73,525.4894663527156
50,1095,385,4363.2699999999995,200.84687537047984
51,1097,4588,87899.35,2627.697678123836
52,1099,1096,9387.41,200.6219583416095
53,11001,56,27.5,-34.79445326366847
54,1101,392,3307.95,157.92561487296805
55,1103,393,4016.61,182.0716012425342
56,1105,874,8702.75,262.01684190261824
57,1107,571,4999.45,245.49190192232427
58,1109,382,3182.15,135.23611597256567
59,1111,832,6152.2,279.1116837848891
60,1113,1022,14436.15,651.5995471830881
61,1115,1084,13836.66,572.6564495642865
62,1117,1424,19418.9,715.2507423360375
63,1119,281,3995.1,82.67107519384066
64,1121,2743,38176.78,1571.6029705216765
65,1123,983,9339.92,417.0586065206591
66,1125,1123,15675.1,636.3774736624428
67,1127,2150,24345.75,1005.1589617616648
68,1129,1984,42883.7,1304.5915478080537
69,1131,749,5772.45,141.93624549460716
70,1133,939,12848.720000000001,423.4622437417226
71,12001,1685,37756.799999999996,317.6503345653109
72,12003,1314,259480.72,359.7155285481891
73,12005,1531,21187.7,219.10091500180448
74,12007,866,23214.80001,58.01518240737009
75,12009,1941,166000.39999,879.7257123106459
76,12011,475,654421.5,551.0612399483947
77,12013,491,7317.1,212.62058191726013
78,12015,2197,52816.8,714.9085075800119
79,12017,1633,20372.9,384.82248907307667
80,12019,1450,20360.45,249.89365682666002
81,12021,3587,477570.9,1251.1299761129535
82,12023,1667,90946.29,102.83681040821787
83,12027,618,11823.8,261.3000665548556
84,12029,1244,8195.800000000001,80.89696717826729
85,12031,1360,23543.7,362.1479020901075
86,12033,1172,9277.9,180.7484592433827
87,12035,1409,63568.600000000006,12.67603333557591
88,12037,558,25001.0,140.60533143002888
89,12039,627,4114.9,175.99941863431673
90,12041,703,6688.4,197.22450494298522
91,12043,1066,178958.79989,577.6068852272675
92,12045,580,21992.3,216.3213577901427
93,12047,832,5892.8,28.98139876584816
